Messages,Start Date,District,Communication Channel,The message contains
covid-19 job is a man - made virus by the west so that they can make money out of it.,5/28/2021,Bonthe,Public meetings WhatsApp Other Social Media Radio,misinformation
covid-19 will never come to an end in the world.,5/28/2021,Bonthe,Public meetings WhatsApp Other Social Media,concerns
the vaccine is meant to desterilize and kill africans.  it causes blood clot,5/28/2021,Moyamba,Word of mouth WhatsApp Radio,misinformation
that covid-19 vaccines can cause women of child bearing age to become barren.,5/28/2021,Pujehun,Word of mouth,misinformation
the covid-19 vaccination is a means to control world population.,5/28/2021,Kenema,Religious meetings,misinformation
people are saying all those that took the covid_19 vaccine will soon die.,5/28/2021,Karene,Word of mouth,misinformation
some of the polio doses will cause infertility especailly to girls when they grow up,5/28/2021,Kambia,Word of mouth,misinformation
covid-19 vaccines can make men impotent and women not to get pregnant.,4/30/2021,Bonthe,Public meetings WhatsApp Other Social Media Radio,misinformation
"people will not be affected by covid-19 again as long as they have taken the vaccine, so they shouldn't be wearing face masks.",4/30/2021,Bonthe,Public meetings Other Social Media Radio,information
vaccine is meant to kill africans.  it causes blood clot,4/26/2021,Moyamba,WhatsApp Radio,misinformation
the vaccines cause barreness/inability to conceive and give birth,4/30/2021,Bonthe,WhatsApp,misinformation
the covid-19 vaccines given to the health workers is completely different from the ones administered to the general public,4/26/2021,Tonkolili,Word of mouth,rumors
after taking the vaccine they should not observe the covid-19 precautions measures,4/26/2021,Falaba,WhatsApp,misinformation
some youths are saying they prefer tramadol than taking covid-19 vaccine,4/28/2021,Karene,Word of mouth,concerns
people are lost to follow 2nd dose because of how they felt when they took the first dose,4/30/2021,Port Loko,Public meetings,concerns
scared about rumors about the vaccines and their purpose to depopulate the world.,4/26/2021,Western Urban,Word of mouth Other Social Media,misinformation
ebola makes men impotent and women barren.,4/26/2021,Western Urban,WhatsApp,misinformation
sierra leone will never be declared covid-19 free as long as the government is receiving money for it from the international community.,4/23/2021,Bonthe,Word of mouth WhatsApp Other Social Media Radio,rumors
covid-19 vaccines are meant to inject people with the virus so that the country will keep recording cases.,4/23/2021,Bonthe,Public meetings WhatsApp Other Social Media Radio,misinformation
"reduction in vaccinated person's life span, depending on the kind of the covid-19 vaccine they took.",4/23/2021,Kenema,WhatsApp,rumors
muslims who are fasting cannot take injection,4/21/2021,Bombali,Religious meetings,rumors
the community people are saying that government is trying to import the evd to sierra leone to make money,4/16/2021,Tonkolili,WhatsApp Radio,rumors
the ministry of health workers are adviced to do all it takes to prevent evd from coming to the district because if it comes they will not take it light with the dhmt staff,4/17/2021,Tonkolili,WhatsApp,rumors
covid-19 in sierra leone is not the real,4/23/2021,Karene,Public meetings,misinformation
"ebola is not in guinea, people want it to come to sierra leone for them to make money from it.",4/19/2021,Western Urban,WhatsApp,misinformation
is nacoverc downsizing football fans for sierra leone premier league.,4/20/2021,Western Urban,WhatsApp,concerns
one evd case discovered in freetown,4/21/2021,Western Urban,WhatsApp,information
covid-19 never entered into sierra leone.,6/4/2021,Bonthe,Public meetings Radio,rumors
you'll never see someone who is seriously ill with covid-19 in sierra leone.,6/4/2021,Bonthe,Public meetings Radio,misinformation
those who have been vaccinated with the covid-19 vaccines will die after three years.,6/1/2021,Kenema,Market/Shops/Street,misinformation
those who took the covid-19 vaccine it will affect them after 6 month,6/4/2021,Falaba,Word of mouth,rumors
people are saying this nopv marklate is the covid_19. marklate for the children and very soon all children that took the marklate will die.,6/4/2021,Karene,Word of mouth,misinformation
nopv vaccine is not safe and it is a ploy to adminster the covid-19 vaccine  and evd vaccine to children.,6/4/2021,Port Loko,Word of mouth,rumors
the evd vaccine is only administer to a specific target group because of reasons best knwn to health workers,6/4/2021,Port Loko,Word of mouth,rumors
social mobilzes,7/3/2021,Kenema,word_of_mouth,misinformation
rumours around polio vaccine to be covid vaccine,7/2/2021,Western Urban,Word of mouth,misinformation
blocked rejection due to rumours about opv,7/4/2021,Kono,Word of mouth WhatsApp,rumors
polio vaccination  misunderstood for ongoing malaria indicator survey,7/3/2021,Kono,Word of mouth WhatsApp,misinformation
the vaccine being given to children is a covid19 vaccine,7/2/2021,Western Rural,Word of mouth,rumors
there is an ongoing rumour saying the polio vaccine is a covid19 vaccine.,7/3/2021,Western Rural,Word of mouth,rumors
vaccine rejection due to perception that opv is not safe,7/4/2021,Tonkolili,Word of mouth WhatsApp,misinformation
opv is a coivd vaccine,7/5/2021,Tonkolili,Word of mouth WhatsApp,misinformation
polio vaccine assumption to be covid 19 vaccine,7/5/2021,Kailahun,Word of mouth,misinformation
the polio vaccine is in disguise of a covid-19 vaccine for children,7/7/2021,Western Rural,Word of mouth,misinformation
covid-19 vaccine is killing people in sierra leone.,6/25/2021,Bonthe,Word of mouth,rumors
covid-19 vaccines are unsafe and dangerous. evidence by the ignition of electricity bulb at the injection site,7/2/2021,Kambia,WhatsApp Facebook,misinformation
all those that have taken covid-19 vaccine will die after two years.,7/2/2021,Karene,Religious event,misinformation
polio marklate is a way to infect children with covid-19.,7/2/2021,Falaba,Word of mouth,rumors
vaccine beneficiaries will die after two years.,6/28/2021,Kenema,Word of mouth,misinformation
the polio vaccine could be dangerous,7/2/2021,Tonkolili,Word of mouth,rumors
the nopv vaccine a disguise to infect children with covid-19.,7/2/2021,Kono,Radio,rumors
covid-19 vaccine desterilize and kill africans,7/2/2021,Moyamba,Word of mouth,rumors
refusal of polio vaccine as a result of covid-19,7/2/2021,Port Loko,Other,rumors
sinopherm vaccine causes untimely death,7/2/2021,Pujehun,SMS,rumors
nacoverc will make us vaccine card without u taking the vaccine.,7/8/2021,Bonthe,Other,rumors
nacoverc will make u vaccine card even without taking the vaccine,7/8/2021,No specific district,Other,rumors
polio mark late is a way of infecting children with covid-19 .,7/7/2021,Falaba,Other,rumors
3rd wave of covid-19 a strategy for government to get funding from international donors.,7/8/2021,Kambia,Other,rumors
all those that take the corona vaccine will die in two years time.,7/7/2021,Karene,Word of mouth,rumors
the more u take covid-19 the higher the risk of infection.,7/6/2021,Koinadugu,Word of mouth,rumors
covid-19 vaccine is now available for children in sierra leone.,7/7/2021,Kono,Word of mouth,rumors
covid-19 vaccines meant to reduce african population.,7/7/2021,Moyamba,Word of mouth,rumors
as long as we continue to observe preventive measures show covid-19 vaccines are not effective.,7/7/2021,Pujehun,Word of mouth,rumors
covid-19 vaccines have expired.,7/7/2021,Tonkolili,Word of mouth WhatsApp,rumors
"covid-19 vaccine is not safe, it kills",7/7/2021,Western Urban,Word of mouth,rumors
"no one has ever died of covid-19 in sierra leone.
some people are being paid just to public admit that they have covid-19.",7/16/2021,Bonthe,Word of mouth,rumors
polio marklate is a way to infect children with covid-19,7/16/2021,Falaba,Word of mouth,misinformation
covid-19 vaccine is a death trap for all partakers because they will die soon.,7/16/2021,Kambia,Word of mouth,misinformation
covid-19 vaccination  roll-out is a ploy to infect people with the disease.,7/16/2021,Karene,Word of mouth,misinformation
covid-19 vaccine can cause barrenness.,7/16/2021,Kenema,Word of mouth,misinformation
covid-19 vaccine is now available for children in sierra leone.,7/16/2021,Kono,Word of mouth,rumors
covid-19 vaccine is to kill africans.,7/16/2021,Moyamba,Word of mouth,misinformation
covid-19 vaccines send to africa is for birth control.,7/16/2021,Pujehun,Word of mouth,misinformation
mohs is planning to bring another epidemic in the country.,7/17/2021,Tonkolili,Word of mouth,misinformation
government is forcing trial vaccine on its citizens.,7/16/2021,Western Urban,Word of mouth,concerns
nacoverc increase case for government to extend their contract.,7/22/2021,Bonthe,Word of mouth,rumors
covid-19 in sierra leone is money making.,7/22/2021,Karene,Word of mouth,rumors
covid -19 vaccine can lit an electric bulb.,7/21/2021,Kenema,Word of mouth WhatsApp Other Social Media,misinformation
covid-19 vaccine result to death after some time.,7/21/2021,Koinadugu,Word of mouth WhatsApp Other Social Media,rumors
covid-19 is well organized national business.,7/22/2021,Kono,Word of mouth WhatsApp,rumors
covid-19 vaccine sterilizes africans.,7/22/2021,Moyamba,Word of mouth WhatsApp,misinformation
covid-19 test result are tampered with to increase number of cases.,7/22/2021,Tonkolili,Word of mouth WhatsApp,misinformation
government forcing trial vaccine on its citizens.,7/22/2021,Western Urban,Word of mouth WhatsApp Other Social Media,concerns
covid-19 can be contracted by fart.,7/30/2021,Bonthe,Word of mouth,misinformation
polio marklate is a way of infecting children with covid-19.,7/28/2021,Falaba,Word of mouth,rumors
covid-19 vaccines cannot protect people from the virus as people can still be infected even when vaccinated.,7/27/2021,Kambia,WhatsApp,rumors
they are infecting people with covid-19 virus through the vaccine.,7/27/2021,Karene,Word of mouth,misinformation
covid-19 vaccine is a micro chip,7/29/2021,Kono,Word of mouth,misinformation
covid-19 vaccines are not safe because they are still on trial.,8/3/2021,Bonthe,Word of mouth,rumors
"covid-19 staff are all in good wealth now.
government is just making suffer the people for nothing, no one is dying of covid.",8/6/2021,Bonthe,Word of mouth,misinformation
polio marklate is a way of infecting children with covid.,8/5/2021,Falaba,Word of mouth,misinformation
covid-19 vaccine is causing the death of people and in two years those vaccinated will die.,8/5/2021,Kailahun,Word of mouth,misinformation
covid-19 in sierra leone is money making,8/3/2021,Karene,Word of mouth,rumors
vaccinated people will die after two years,8/6/2021,Western Urban,Word of mouth WhatsApp,misinformation
health workers are making money from vaccination cards,8/6/2021,Kono,Word of mouth WhatsApp,rumors
covid-19 vaccines will desterilize and kill africans,8/6/2021,Moyamba,Word of mouth WhatsApp,misinformation
covid-19 vaccine will kill people after two years,8/6/2021,Port Loko,Word of mouth WhatsApp,misinformation
government is forcing people to take covid-19 vaccines by banning congregational prayers,8/5/2021,Tonkolili,Word of mouth WhatsApp,rumors
government giving expired covid vaccines to people. they are a death trap.,8/6/2021,Western Urban,Word of mouth WhatsApp,misinformation
covid 19 is all about reducing the black race in africa,9/24/2021,Koinadugu,Word of mouth,misinformation
covid 19 vaccine for health workers is different from the one for community people,9/21/2021,Koinadugu,Word of mouth,misinformation
some staff in the ministry of agriculture  refused to take the covid 19 vaccine because according to them it is a ploy to reduce african population,9/25/2021,Pujehun,Social mobilization Activities,rumors
people who were vaccinated in the uk have started dying,9/29/2021,Western Rural,Other,misinformation
covid-19 is like malaria. it's going to stay with us,10/4/2021,No specific district,Word of mouth,rumors
"evd vaccine result to frequent side effect like body pain, frequent stooling",10/10/2021,Koinadugu,Word of mouth,concerns
"""let's take this vaccine (covid-19). our president said it is good and safe and that why he took it himself. besides, even the white men are taking it"". "" do you think the white men will be so that wicked to kill or harm the whole world including themselves by taking vaccines?.that's not possible at all"".",10/29/2021,Bonthe,Religious event Social mobilization Activities Word of mouth,information
that the vaccines are not safe and that they cause someone to scratch after taking it.,11/3/2021,Tonkolili,Social mobilization Activities Other,misinformation
the real reason why covid-19 in africa has been less deadly than elsewhere is because the virus does not survive high temperatures,10/8/2021,No specific district,Radio,rumors
that people taking the covid-19 vaccine will die after two years,11/13/2021,Western Urban,Television,misinformation
some people took oncho tablet and experienced serious body itching. others experienced severe illnesses.,11/13/2021,Bonthe,Social mobilization Activities,concerns
the government want to use the covid-19 vaccination to know the population of the districts,12/2/2021,Pujehun,Public event,misinformation
covid-19 vaccination is money making,12/2/2021,Pujehun,Word of mouth,misinformation
covid-19 vaccination is money making,12/2/2021,Kenema,Word of mouth,misinformation
the available covid-19 vaccines will are not effective in the prevention and control of the new covid-19 variant,12/1/2021,Port Loko,Word of mouth,rumors
new variant of corona virus to be used for the mid term census in sierra leone,12/2/2021,Koinadugu,Word of mouth,misinformation
are you here for the census,12/15/2021,Western Urban,Word of mouth,misinformation
if you take covid 19 marklate you will die,12/13/2021,Moyamba,Social mobilization Activities,misinformation
covid 19 marklate is a method of reducing the population of the world,12/14/2021,Moyamba,Social mobilization Activities,misinformation
covid 19 is a money making process,12/15/2021,Moyamba,Social mobilization Activities,misinformation
the vaccine will reduce the potency in men,12/17/2021,Western Urban,Word of mouth,rumors
the vaccine will reduce potency on men,12/17/2021,Western Urban,Word of mouth,rumors
"'the main reason for the covid-19 vaccine hesitancy all this while for most is due to the information we get on social media that the vaccine is not good for our future""",12/11/2021,Bonthe,Social mobilization Activities,concerns
covid-19 vaccine is not good for your health.,1/28/2022,Western Rural,WhatsApp,misinformation
people says the vaccine causes health implications.,1/28/2022,Western Urban,Market/Shops/Street,rumors
